,Value,Concept,City
Estimate Total Male,362086,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male Under 5 years,24295,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 5 to 9 years,24505,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 10 to 14 years,23712,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 15 to 17 years,14131,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 18 and 19 years,8858,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 20 to 24 years,28906,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 25 to 29 years,32989,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 30 to 34 years,24803,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 35 to 44 years,42899,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 45 to 54 years,43574,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 55 to 64 years,47775,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 65 to 74 years,27533,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 75 to 84 years,14478,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male 85 years and over,3628,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago city
Estimate Total Male,453798,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male Under 5 years,23648,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 5 to 9 years,14956,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 10 to 14 years,14600,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 15 to 17 years,7064,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 18 and 19 years,7658,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 20 to 24 years,31265,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 25 to 29 years,59171,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 30 to 34 years,57585,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 35 to 44 years,67453,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 45 to 54 years,57464,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 55 to 64 years,52589,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 65 to 74 years,37870,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 75 to 84 years,16410,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male 85 years and over,6065,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago city
Estimate Total Male,396171,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male Under 5 years,30185,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 5 to 9 years,26887,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 10 to 14 years,33140,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 15 to 17 years,17703,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 18 and 19 years,11480,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 20 to 24 years,31082,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 25 to 29 years,38012,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 30 to 34 years,32966,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 35 to 44 years,60880,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 45 to 54 years,47154,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 55 to 64 years,35536,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 65 to 74 years,20044,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 75 to 84 years,8826,SEX BY AGE (HISPANIC OR LATINO),Chicago city
Estimate Total Male 85 years and over,2276,SEX BY AGE (HISPANIC OR LATINO),Chicago city
